date,resort_name,region,country,pass,snowfall
2020-12-30,Mt. Brighton,Michigan,United_States,EPIC,1
2020-12-30,Mt. Buller,Australia,Australia,IKON,0
2020-12-30,Mt. Hotham,Australia,Australia,EPIC,0
2020-12-30,Mt. Norquay,Alberta,Canada,IKON,0
2020-12-30,Nakiska Ski Area,Alberta,Canada,EPIC,0
2020-12-30,Nendaz,Valais,Switzerland,EPIC,0
2020-12-30,Northstar California,California,United_States,EPIC,0
2020-12-30,Okemo Mountain Resort,Vermont,United_States,EPIC,0
2020-12-30,Orelle,Northern_Alps,France,EPIC,0
2020-12-30,Park City,Utah,United_States,EPIC,0
2020-12-30,Pejo,Trentino,Italy,EPIC,0
2020-12-30,Perisher,Australia,Australia,EPIC,0
2020-12-30,Pinzolo,Trentino,Italy,EPIC,0
2020-12-30,Pontedilegno - Tonale,Trentino,Italy,EPIC,0
2020-12-30,Revelstoke,British_Columbia,Canada,IKON,0
2020-12-30,Saint Martin de Belleville,Northern_Alps,France,EPIC,0
2020-12-30,Snow Summit,California,United_States,IKON,0
2020-12-30,Snowbasin,Utah,United_States,EPIC,0
2020-12-30,Snowbird,Utah,United_States,IKON,0
2020-12-30,Snowshoe Mountain,West_Virginia,United_States,IKON,0
2020-12-30,Solitude Mountain Resort,Utah,United_States,IKON,0
2020-12-30,Squaw Valley Alpine Meadows,California,United_States,IKON,0
2020-12-30,Steamboat,Colorado,United_States,IKON,3
2020-12-30,Stevens Pass Resort,Washington,United_States,EPIC,6
2020-12-30,Stoneham,Quebec,Canada,EPIC,0
2020-12-30,Stowe Mountain,Vermont,United_States,EPIC,1
2020-12-30,Stratton Mountain,Vermont,United_States,IKON,0
2020-12-30,Sugarbush,Vermont,United_States,IKON,0
2020-12-30,Sugarloaf,Maine,United_States,IKON,0
2020-12-30,Sun Valley,Idaho,United_States,EPIC,0
2020-12-30,Sunday River,Maine,United_States,IKON,0
2020-12-30,Sunshine Village,Alberta,Canada,IKON,0
2020-12-30,Taos Ski Valley,New_Mexico,United_States,IKON,5
2020-12-30,Telluride,Colorado,United_States,EPIC,1
2020-12-30,The Summit at Snoqualmie,Washington,United_States,IKON,0
2020-12-30,Thredbo Alpine Resort,Australia,Australia,IKON,0
2020-12-30,Thyon 2000,Valais,Switzerland,EPIC,0
2020-12-30,Tremblant,Quebec,Canada,IKON,0
2020-12-30,Vail,Colorado,United_States,EPIC,2
2020-12-30,Val Thorens,Northern_Alps,France,EPIC,0
2020-12-30,Verbier,Valais,Switzerland,EPIC,0
2020-12-30,Veysonnaz,Valais,Switzerland,EPIC,0
2020-12-30,Whistler Blackcomb,British_Columbia,Canada,EPIC,4
2020-12-30,Wilmot Mountain,Wisconsin,United_States,EPIC,0
2020-12-30,Windham Mountain,New_York,United_States,IKON,0
2020-12-30,Winter Park,Colorado,United_States,IKON,0
2020-12-31,Afton Alps,Minnesota,United_States,EPIC,0
2020-12-31,Alpe Cimbra - Folgaria - Lavarone,Trentino,Italy,EPIC,0
2020-12-31,Alta Ski Area,Utah,United_States,IKON,0
2020-12-31,Andalo - Fai della Paganella,Trentino,Italy,EPIC,0
2020-12-31,Arapahoe Basin Ski Area,Colorado,United_States,IKON,1
2020-12-31,Aspen Snowmass,Colorado,United_States,IKON,0
2020-12-31,Bear Mountain,California,United_States,IKON,0
2020-12-31,Beaver Creek,Colorado,United_States,EPIC,0
2020-12-31,Big Sky,Montana,United_States,IKON,0
